timestamp,open,high,low,close,volume,oi,datetime,date,instrument_type,strike_price,expiry_date,instrument_key,trading_day,is_expired
2025-05-26T09:15:00+05:30,184.0,260.35,184.0,250.55,3712125,2110200,2025-05-26 09:15:00+05:30,2025-05-26,CE,24950,2025-05-29,NSE_FO|61753|29-05-2025,2025-05-26,False
2025-05-26T09:15:00+05:30,233.55,233.65,163.0,169.6,2101200,1023825,2025-05-26 09:15:00+05:30,2025-05-26,PE,24950,2025-05-29,NSE_FO|61754|29-05-2025,2025-05-26,False
2025-05-26T09:20:00+05:30,252.0,278.39,252.0,259.0,1861200,1997400,2025-05-26 09:20:00+05:30,2025-05-26,CE,24950,2025-05-29,NSE_FO|61753|29-05-2025,2025-05-26,False
2025-05-26T09:20:00+05:30,168.25,168.25,156.35,161.8,1258725,1376400,2025-05-26 09:20:00+05:30,2025-05-26,PE,24950,2025-05-29,NSE_FO|61754|29-05-2025,2025-05-26,False
2025-05-26T09:25:00+05:30,255.6,286.0,253.8,278.39,1303950,1981125,2025-05-26 09:25:00+05:30,2025-05-26,CE,24950,2025-05-29,NSE_FO|61753|29-05-2025,2025-05-26,False
2025-05-26T09:25:00+05:30,161.75,165.85,147.65,148.65,1203300,1447800,2025-05-26 09:25:00+05:30,2025-05-26,PE,24950,2025-05-29,NSE_FO|61754|29-05-2025,2025-05-26,False
2025-05-26T09:30:00+05:30,277.39,289.0,270.75,284.0,736950,1906650,2025-05-26 09:30:00+05:30,2025-05-26,CE,24950,2025-05-29,NSE_FO|61753|29-05-2025,2025-05-26,False
2025-05-26T09:30:00+05:30,148.8,151.05,142.8,144.8,856875,1595550,2025-05-26 09:30:00+05:30,2025-05-26,PE,24950,2025-05-29,NSE_FO|61754|29-05-2025,2025-05-26,False
2025-05-26T09:35:00+05:30,283.25,286.0,263.55,282.35,728625,1854525,2025-05-26 09:35:00+05:30,2025-05-26,CE,24950,2025-05-29,NSE_FO|61753|29-05-2025,2025-05-26,False
2025-05-26T09:35:00+05:30,144.9,150.5,140.0,142.3,738825,1750800,2025-05-26 09:35:00+05:30,2025-05-26,PE,24950,2025-05-29,NSE_FO|61754|29-05-2025,2025-05-26,False
2025-05-26T09:40:00+05:30,282.0,282.0,268.0,276.3,469650,1666650,2025-05-26 09:40:00+05:30,2025-05-26,CE,24950,2025-05-29,NSE_FO|61753|29-05-2025,2025-05-26,False
2025-05-26T09:40:00+05:30,142.65,152.35,138.35,145.15,764925,1606425,2025-05-26 09:40:00+05:30,2025-05-26,PE,24950,2025-05-29,NSE_FO|61754|29-05-2025,2025-05-26,False
2025-05-26T09:45:00+05:30,275.89,304.1,275.6,291.85,893100,1540350,2025-05-26 09:45:00+05:30,2025-05-26,CE,24950,2025-05-29,NSE_FO|61753|29-05-2025,2025-05-26,False
2025-05-26T09:45:00+05:30,144.94,144.94,130.0,135.3,1051350,1696950,2025-05-26 09:45:00+05:30,2025-05-26,PE,24950,2025-05-29,NSE_FO|61754|29-05-2025,2025-05-26,False
2025-05-26T09:50:00+05:30,291.25,297.95,282.8,288.2,337350,1546950,2025-05-26 09:50:00+05:30,2025-05-26,CE,24950,2025-05-29,NSE_FO|61753|29-05-2025,2025-05-26,False
2025-05-26T09:50:00+05:30,135.55,140.05,133.9,138.44,502350,1662600,2025-05-26 09:50:00+05:30,2025-05-26,PE,24950,2025-05-29,NSE_FO|61754|29-05-2025,2025-05-26,False
2025-05-26T09:55:00+05:30,288.95,292.6,280.2,289.7,255975,1533450,2025-05-26 09:55:00+05:30,2025-05-26,CE,24950,2025-05-29,NSE_FO|61753|29-05-2025,2025-05-26,False
2025-05-26T09:55:00+05:30,137.4,143.5,136.6,137.8,444750,1681875,2025-05-26 09:55:00+05:30,2025-05-26,PE,24950,2025-05-29,NSE_FO|61754|29-05-2025,2025-05-26,False
2025-05-26T10:00:00+05:30,288.7,291.85,279.35,283.8,236025,1504725,2025-05-26 10:00:00+05:30,2025-05-26,CE,24950,2025-05-29,NSE_FO|61753|29-05-2025,2025-05-26,False
2025-05-26T10:00:00+05:30,137.55,145.94,136.69,144.25,517425,1694250,2025-05-26 10:00:00+05:30,2025-05-26,PE,24950,2025-05-29,NSE_FO|61754|29-05-2025,2025-05-26,False
2025-05-26T10:05:00+05:30,284.64,290.95,276.05,281.85,265200,1511775,2025-05-26 10:05:00+05:30,2025-05-26,CE,24950,2025-05-29,NSE_FO|61753|29-05-2025,2025-05-26,False
2025-05-26T10:05:00+05:30,143.25,148.6,139.6,144.5,675450,1723200,2025-05-26 10:05:00+05:30,2025-05-26,PE,24950,2025-05-29,NSE_FO|61754|29-05-2025,2025-05-26,False
2025-05-26T10:10:00+05:30,281.2,292.6,279.0,280.45,292425,1498425,2025-05-26 10:10:00+05:30,2025-05-26,CE,24950,2025-05-29,NSE_FO|61753|29-05-2025,2025-05-26,False
2025-05-26T10:10:00+05:30,144.35,147.85,137.8,147.35,547275,1725900,2025-05-26 10:10:00+05:30,2025-05-26,PE,24950,2025-05-29,NSE_FO|61754|29-05-2025,2025-05-26,False
2025-05-26T10:15:00+05:30,282.14,285.75,259.0,259.0,477000,1457250,2025-05-26 10:15:00+05:30,2025-05-26,CE,24950,2025-05-29,NSE_FO|61753|29-05-2025,2025-05-26,False
2025-05-26T10:15:00+05:30,146.35,163.4,145.44,163.4,1410750,1770450,2025-05-26 10:15:00+05:30,2025-05-26,PE,24950,2025-05-29,NSE_FO|61754|29-05-2025,2025-05-26,False
2025-05-26T10:20:00+05:30,260.85,269.85,248.75,263.7,699075,1543125,2025-05-26 10:20:00+05:30,2025-05-26,CE,24950,2025-05-29,NSE_FO|61753|29-05-2025,2025-05-26,False
2025-05-26T10:20:00+05:30,162.15,170.55,153.25,159.5,1582350,1595025,2025-05-26 10:20:00+05:30,2025-05-26,PE,24950,2025-05-29,NSE_FO|61754|29-05-2025,2025-05-26,False
2025-05-26T10:25:00+05:30,261.89,263.05,223.4,239.95,1557150,1554075,2025-05-26 10:25:00+05:30,2025-05-26,CE,24950,2025-05-29,NSE_FO|61753|29-05-2025,2025-05-26,False
2025-05-26T10:25:00+05:30,160.75,206.8,160.5,186.8,3979950,1605075,2025-05-26 10:25:00+05:30,2025-05-26,PE,24950,2025-05-29,NSE_FO|61754|29-05-2025,2025-05-26,False
2025-05-26T10:30:00+05:30,240.05,240.05,231.0,237.35,880500,1858350,2025-05-26 10:30:00+05:30,2025-05-26,CE,24950,2025-05-29,NSE_FO|61753|29-05-2025,2025-05-26,False
2025-05-26T10:30:00+05:30,186.15,205.65,186.15,198.85,2428200,1882725,2025-05-26 10:30:00+05:30,2025-05-26,PE,24950,2025-05-29,NSE_FO|61754|29-05-2025,2025-05-26,False
