SignalTime,EntryTime,Slippage_Sec,Side,Strike,EntryPrice,ExitTime,ExitPrice,ExitReason,SL_Value,Initial_SL,TP1_Hit,PnL_Points,PnL_INR
2025-06-02 11:05:00+05:30,2025-06-02 11:10:00+05:30,300,BUY_CE,24550,263.2,2025-06-02 11:25:00+05:30,274.69,ATR Trail Hit,274.69,238.2,True,11.49,861.75
2025-06-02 12:00:00+05:30,2025-06-02 12:05:00+05:30,300,BUY_CE,24550,293.1,2025-06-02 12:25:00+05:30,303.1,Locked Profit Hit,303.1,268.1,True,10.0,750.0
2025-06-02 12:30:00+05:30,2025-06-02 12:35:00+05:30,300,BUY_CE,24550,345.55,2025-06-02 12:40:00+05:30,353.55,Safe SL Hit,353.55,320.55,True,8.0,600.0
2025-06-02 13:15:00+05:30,2025-06-02 13:20:00+05:30,300,BUY_CE,24550,327.55,2025-06-02 13:35:00+05:30,338.8,MACD/EMA Exit,337.55,302.55,True,11.25,843.75
2025-06-02 14:15:00+05:30,2025-06-02 14:20:00+05:30,300,BUY_PE,24550,146.65,2025-06-02 14:35:00+05:30,154.65,Safe SL Hit,154.65,129.91,True,8.0,600.0
2025-06-02 14:55:00+05:30,2025-06-02 15:00:00+05:30,300,BUY_CE,24550,328.1,2025-06-02 15:05:00+05:30,338.1,Locked Profit Hit,338.1,303.1,True,10.0,750.0
2025-06-03 10:20:00+05:30,2025-06-03 10:25:00+05:30,300,BUY_CE,24700,258.9,2025-06-03 10:35:00+05:30,233.9,SL Hit,233.9,233.9,False,-25.0,-1875.0
2025-06-03 10:40:00+05:30,2025-06-03 10:45:00+05:30,300,BUY_PE,24700,232.8,2025-06-03 11:15:00+05:30,242.8,Locked Profit Hit,242.8,207.8,True,10.0,750.0
2025-06-03 12:50:00+05:30,2025-06-03 12:55:00+05:30,300,BUY_PE,24700,299.35,2025-06-03 13:05:00+05:30,307.35,Safe SL Hit,307.35,274.35,True,8.0,600.0
2025-06-03 13:15:00+05:30,2025-06-03 13:20:00+05:30,300,BUY_PE,24700,268.1,2025-06-03 13:30:00+05:30,243.1,SL Hit,243.1,243.1,False,-25.0,-1875.0
2025-06-03 14:35:00+05:30,2025-06-03 14:40:00+05:30,300,BUY_CE,24700,106.4,2025-06-03 15:20:00+05:30,86.38,SL Hit,86.38,86.38,False,-20.02,-1501.5
2025-06-04 10:20:00+05:30,2025-06-04 10:25:00+05:30,300,BUY_CE,24550,115.55,2025-06-04 10:40:00+05:30,123.55,Safe SL Hit,123.55,90.55,True,8.0,600.0
2025-06-04 11:35:00+05:30,2025-06-04 11:40:00+05:30,300,BUY_CE,24550,114.75,2025-06-04 13:00:00+05:30,122.75,Safe SL Hit,122.75,95.2,True,8.0,600.0
2025-06-04 13:25:00+05:30,2025-06-04 13:30:00+05:30,300,BUY_CE,24550,114.2,2025-06-04 13:50:00+05:30,122.2,Safe SL Hit,122.2,97.84,True,8.0,600.0
