SignalTime,EntryTime,Slippage_Sec,Side,Strike,EntryPrice,ExitTime,ExitPrice,ExitReason,SL_Value,Initial_SL,TP1_Hit,PnL_Points,PnL_INR,Gross_PnL,Costs
2025-06-02 10:15:00+05:30,2025-06-02 10:20:00+05:30,300,BUY_PE,24550,183.55,2025-06-02 12:00:00+05:30,158.55,SL Hit,158.55,158.55,False,-25.0,-1962.5,-1875.0,87.5
2025-06-02 12:05:00+05:30,2025-06-02 12:10:00+05:30,300,BUY_CE,24550,291.45,2025-06-02 12:55:00+05:30,348.11,ATR Trail Hit,348.11,266.45,True,56.66,4162.0,4249.5,87.5
2025-06-02 13:05:00+05:30,2025-06-02 13:10:00+05:30,300,BUY_CE,24550,318.9,2025-06-02 13:15:00+05:30,327.05,MACD/EMA Exit,326.9,293.9,True,8.15,523.75,611.25,87.5
2025-06-02 14:55:00+05:30,2025-06-02 15:00:00+05:30,300,BUY_CE,24550,328.1,2025-06-02 15:05:00+05:30,338.1,Locked Profit Hit,338.1,303.1,True,10.0,662.5,750.0,87.5
2025-06-03 10:20:00+05:30,2025-06-03 10:25:00+05:30,300,BUY_CE,24700,258.9,2025-06-03 10:35:00+05:30,233.9,SL Hit,233.9,233.9,False,-25.0,-1962.5,-1875.0,87.5
2025-06-03 10:40:00+05:30,2025-06-03 10:45:00+05:30,300,BUY_PE,24700,232.8,2025-06-03 11:15:00+05:30,242.8,Locked Profit Hit,242.8,207.8,True,10.0,662.5,750.0,87.5
2025-06-03 11:25:00+05:30,2025-06-03 11:30:00+05:30,300,BUY_PE,24700,232.85,2025-06-03 11:35:00+05:30,240.85,Safe SL Hit,240.85,207.85,True,8.0,512.5,600.0,87.5
2025-06-03 11:40:00+05:30,2025-06-03 11:45:00+05:30,300,BUY_PE,24700,251.0,2025-06-03 12:00:00+05:30,226.0,SL Hit,226.0,226.0,False,-25.0,-1962.5,-1875.0,87.5
2025-06-03 12:25:00+05:30,2025-06-03 12:30:00+05:30,300,BUY_PE,24700,238.55,2025-06-03 12:45:00+05:30,248.5,MACD/EMA Exit,246.55,213.55,True,9.95,658.75,746.25,87.5
2025-06-03 12:50:00+05:30,2025-06-03 12:55:00+05:30,300,BUY_PE,24700,299.35,2025-06-03 13:05:00+05:30,307.35,Safe SL Hit,307.35,274.35,True,8.0,512.5,600.0,87.5
