EntryTime,Side,Strike,EntryPrice,ExitTime,ExitPrice,ExitReason,SL_Value,Initial_SL,TP1_Hit,PnL_Points,PnL_INR
2025-09-25 10:40:00+05:30,SELL_PE,25050,100.8,2025-09-25 11:10:00+05:30,87.8,SL Hit,87.8,115.65,True,13.0,975.0
2025-09-25 11:20:00+05:30,BUY_CE,25050,108.45,2025-09-25 11:40:00+05:30,97.02,SL Hit,97.02,97.02,False,-11.43,-857.25
2025-09-25 11:45:00+05:30,SELL_PE,25050,106.1,2025-09-25 12:05:00+05:30,120.35,SL Hit,120.35,120.35,False,-14.25,-1068.75
2025-09-25 14:45:00+05:30,SELL_PE,25050,122.0,2025-09-25 15:00:00+05:30,137.12,SL Hit,137.12,137.12,False,-15.12,-1134.0
2025-09-25 15:05:00+05:30,SELL_PE,25050,148.5,2025-09-25 15:25:00+05:30,146.6,EOD Exit,166.11,166.11,False,1.9,142.5
2025-09-26 11:00:00+05:30,SELL_PE,24800,76.5,2025-09-26 11:35:00+05:30,85.95,SL Hit,85.95,85.95,False,-9.45,-708.75
2025-09-26 12:50:00+05:30,BUY_CE,24800,101.65,2025-09-26 13:10:00+05:30,91.17,SL Hit,91.17,91.17,False,-10.48,-786.0
2025-09-26 13:15:00+05:30,SELL_PE,24800,83.75,2025-09-26 13:30:00+05:30,92.77,SL Hit,92.77,92.77,False,-9.02,-676.5
2025-09-26 13:35:00+05:30,SELL_PE,24800,107.5,2025-09-26 13:50:00+05:30,118.8,SL Hit,118.8,118.8,False,-11.3,-847.5
2025-09-26 13:55:00+05:30,SELL_PE,24800,151.05,2025-09-26 13:55:00+05:30,138.05,SL Hit,138.05,168.76,True,13.0,975.0
2025-09-26 14:00:00+05:30,SELL_PE,24800,169.55,2025-09-26 14:00:00+05:30,156.55,SL Hit,156.55,189.26,True,13.0,975.0
2025-09-29 11:05:00+05:30,BUY_CE,24750,97.85,2025-09-29 11:30:00+05:30,78.91,SL Hit,78.91,78.91,False,-18.94,-1420.5
2025-09-29 11:35:00+05:30,SELL_PE,24750,77.5,2025-09-29 11:45:00+05:30,91.0,SL Hit,91.0,91.0,False,-13.5,-1012.5
2025-09-29 12:40:00+05:30,SELL_PE,24750,127.1,2025-09-29 13:00:00+05:30,89.5,MACD/EMA Exit,114.1,149.63,True,37.6,2820.0
2025-09-29 13:20:00+05:30,BUY_CE,24750,55.75,2025-09-29 14:20:00+05:30,68.75,SL Hit,68.75,46.1,True,13.0,975.0
2025-09-29 14:50:00+05:30,SELL_PE,24750,80.15,2025-09-29 15:00:00+05:30,98.17,SL Hit,98.17,98.17,False,-18.02,-1351.5
2025-09-29 15:05:00+05:30,SELL_PE,24750,99.05,2025-09-29 15:25:00+05:30,84.6,EOD Exit,86.05,118.57,True,14.45,1083.75
2025-09-30 10:30:00+05:30,SELL_PE,24700,92.15,2025-09-30 10:55:00+05:30,79.15,SL Hit,79.15,117.06,True,13.0,975.0
2025-09-30 11:00:00+05:30,BUY_CE,24700,32.75,2025-09-30 11:40:00+05:30,21.79,SL Hit,21.79,21.79,False,-10.96,-822.0
2025-09-30 11:45:00+05:30,SELL_PE,24700,69.5,2025-09-30 12:15:00+05:30,54.15,MACD/EMA Exit,56.5,95.35,True,15.35,1151.25
2025-09-30 12:20:00+05:30,BUY_CE,24700,28.95,2025-09-30 13:20:00+05:30,17.01,SL Hit,17.01,17.01,False,-11.94,-895.5
2025-09-30 14:10:00+05:30,SELL_PE,24700,82.5,2025-09-30 14:15:00+05:30,108.35,SL Hit,108.35,108.35,False,-25.85,-1938.75
2025-10-01 11:00:00+05:30,BUY_CE,24600,175.9,2025-10-01 12:25:00+05:30,266.9,MACD/EMA Exit,188.9,153.16,True,91.0,6825.0
2025-10-01 12:55:00+05:30,SELL_PE,24600,44.15,2025-10-01 14:20:00+05:30,29.15,MACD/EMA Exit,31.15,48.94,True,15.0,1125.0
2025-10-01 14:25:00+05:30,BUY_CE,24600,288.65,2025-10-01 14:55:00+05:30,301.65,SL Hit,301.65,267.24,True,13.0,975.0
2025-10-03 10:20:00+05:30,SELL_PE,24750,57.85,2025-10-03 11:15:00+05:30,44.85,SL Hit,44.85,71.85,True,13.0,975.0
2025-10-03 11:20:00+05:30,BUY_CE,24750,139.2,2025-10-03 12:15:00+05:30,152.2,SL Hit,152.2,121.1,True,13.0,975.0
2025-10-03 14:35:00+05:30,BUY_CE,24750,165.3,2025-10-03 14:45:00+05:30,178.3,SL Hit,178.3,149.55,True,13.0,975.0
2025-10-03 14:50:00+05:30,BUY_CE,24750,179.8,2025-10-03 15:05:00+05:30,192.8,SL Hit,192.8,162.91,True,13.0,975.0
2025-10-06 11:30:00+05:30,BUY_CE,24900,140.4,2025-10-06 12:50:00+05:30,154.2,MACD/EMA Exit,153.4,124.04,True,13.8,1035.0
2025-10-06 12:55:00+05:30,BUY_CE,24900,166.05,2025-10-06 13:50:00+05:30,201.2,MACD/EMA Exit,179.05,152.4,True,35.15,2636.25
2025-10-06 14:25:00+05:30,SELL_PE,24900,15.45,2025-10-06 15:25:00+05:30,8.0,EOD Exit,18.45,18.45,False,7.45,558.75
2025-10-07 11:15:00+05:30,SELL_PE,25100,17.6,2025-10-07 11:20:00+05:30,23.5,SL Hit,23.5,23.5,False,-5.9,-442.5
2025-10-07 12:00:00+05:30,BUY_CE,25100,71.55,2025-10-07 12:05:00+05:30,84.55,SL Hit,84.55,49.37,True,13.0,975.0
2025-10-07 12:10:00+05:30,BUY_CE,25100,72.85,2025-10-07 14:15:00+05:30,107.15,MACD/EMA Exit,85.85,50.25,True,34.3,2572.5
2025-10-07 14:25:00+05:30,SELL_PE,25100,3.35,2025-10-07 14:35:00+05:30,4.79,SL Hit,4.79,4.79,False,-1.44,-108.0
2025-10-07 14:40:00+05:30,SELL_PE,25100,4.2,2025-10-07 15:25:00+05:30,0.05,EOD Exit,6.94,6.94,False,4.15,311.25
2025-10-08 10:20:00+05:30,SELL_PE,25100,81.5,2025-10-08 10:55:00+05:30,94.97,SL Hit,94.97,94.97,False,-13.47,-1010.25
