SignalTime,EntryTime,Slippage_Sec,Side,Strike,EntryPrice,ExitTime,ExitPrice,ExitReason,SL_Value,Initial_SL,TP1_Hit,PnL_Points,PnL_INR
2025-09-25 10:40:00+05:30,2025-09-25 10:40:00+05:30,0,SELL_PE,25050,100.8,2025-09-25 11:10:00+05:30,87.8,SL Hit,87.8,115.17,True,13.0,975.0
2025-09-25 11:20:00+05:30,2025-09-25 11:20:00+05:30,0,BUY_CE,25050,108.45,2025-09-25 11:35:00+05:30,98.11,SL Hit,98.11,98.11,False,-10.34,-775.5
2025-09-25 11:40:00+05:30,2025-09-25 11:40:00+05:30,0,SELL_PE,25050,109.35,2025-09-25 11:40:00+05:30,96.35,SL Hit,96.35,124.57,True,13.0,975.0
2025-09-25 11:45:00+05:30,2025-09-25 11:45:00+05:30,0,SELL_PE,25050,106.1,2025-09-25 12:40:00+05:30,121.09,SL Hit,121.09,121.09,False,-14.99,-1124.25
2025-09-25 14:10:00+05:30,2025-09-25 14:10:00+05:30,0,SELL_PE,25050,111.85,2025-09-25 14:55:00+05:30,125.64,SL Hit,125.64,125.64,False,-13.79,-1034.25
2025-09-25 15:00:00+05:30,2025-09-25 15:00:00+05:30,0,SELL_PE,25050,147.0,2025-09-25 15:00:00+05:30,134.0,SL Hit,134.0,165.9,True,13.0,975.0
2025-09-25 15:05:00+05:30,2025-09-25 15:05:00+05:30,0,SELL_PE,25050,148.5,2025-09-25 15:25:00+05:30,146.6,EOD Exit,167.68,167.68,False,1.9,142.5
2025-09-26 10:55:00+05:30,2025-09-26 10:55:00+05:30,0,SELL_PE,24800,72.65,2025-09-26 11:15:00+05:30,81.05,SL Hit,81.05,81.05,False,-8.4,-630.0
2025-09-26 11:20:00+05:30,2025-09-26 11:20:00+05:30,0,SELL_PE,24800,78.35,2025-09-26 13:30:00+05:30,89.16,SL Hit,89.16,89.16,False,-10.81,-810.75
2025-09-26 13:35:00+05:30,2025-09-26 13:35:00+05:30,0,SELL_PE,24800,107.5,2025-09-26 13:50:00+05:30,121.46,SL Hit,121.46,121.46,False,-13.96,-1047.0
2025-09-26 13:55:00+05:30,2025-09-26 13:55:00+05:30,0,SELL_PE,24800,151.05,2025-09-26 13:55:00+05:30,138.05,SL Hit,138.05,177.4,True,13.0,975.0
2025-09-26 14:00:00+05:30,2025-09-26 14:00:00+05:30,0,SELL_PE,24800,169.55,2025-09-26 14:00:00+05:30,156.55,SL Hit,156.55,199.71,True,13.0,975.0
2025-09-29 11:05:00+05:30,2025-09-29 11:05:00+05:30,0,BUY_CE,24750,97.85,2025-09-29 11:30:00+05:30,80.18,SL Hit,80.18,80.18,False,-17.67,-1325.25
2025-09-29 11:35:00+05:30,2025-09-29 11:35:00+05:30,0,SELL_PE,24750,77.5,2025-09-29 11:45:00+05:30,91.04,SL Hit,91.04,91.04,False,-13.54,-1015.5
2025-09-29 12:40:00+05:30,2025-09-29 12:40:00+05:30,0,SELL_PE,24750,127.1,2025-09-29 13:00:00+05:30,89.5,MACD/EMA Exit,114.1,147.69,True,37.6,2820.0
2025-09-29 13:10:00+05:30,2025-09-29 13:10:00+05:30,0,BUY_CE,24750,50.95,2025-09-29 14:05:00+05:30,63.95,SL Hit,63.95,41.32,True,13.0,975.0
2025-09-29 14:40:00+05:30,2025-09-29 14:40:00+05:30,0,SELL_PE,24750,79.85,2025-09-29 14:40:00+05:30,66.85,SL Hit,66.85,97.44,True,13.0,975.0
2025-09-29 14:45:00+05:30,2025-09-29 14:45:00+05:30,0,SELL_PE,24750,88.25,2025-09-29 14:55:00+05:30,75.25,SL Hit,75.25,107.73,True,13.0,975.0
2025-09-29 15:00:00+05:30,2025-09-29 15:00:00+05:30,0,SELL_PE,24750,105.45,2025-09-29 15:00:00+05:30,92.45,SL Hit,92.45,129.95,True,13.0,975.0
2025-09-29 15:05:00+05:30,2025-09-29 15:05:00+05:30,0,SELL_PE,24750,99.05,2025-09-29 15:25:00+05:30,84.6,EOD Exit,86.05,123.7,True,14.45,1083.75
2025-09-30 10:10:00+05:30,2025-09-30 10:10:00+05:30,0,SELL_PE,24700,80.5,2025-09-30 10:35:00+05:30,103.64,SL Hit,103.64,103.64,False,-23.14,-1735.5
2025-09-30 11:00:00+05:30,2025-09-30 11:00:00+05:30,0,BUY_CE,24700,32.75,2025-09-30 11:40:00+05:30,23.13,SL Hit,23.13,23.13,False,-9.62,-721.5
2025-09-30 11:45:00+05:30,2025-09-30 11:45:00+05:30,0,SELL_PE,24700,69.5,2025-09-30 12:15:00+05:30,54.15,MACD/EMA Exit,56.5,95.5,True,15.35,1151.25
2025-09-30 12:20:00+05:30,2025-09-30 12:20:00+05:30,0,BUY_CE,24700,28.95,2025-09-30 13:00:00+05:30,18.47,SL Hit,18.47,18.47,False,-10.48,-786.0
2025-09-30 13:30:00+05:30,2025-09-30 13:30:00+05:30,0,SELL_PE,24700,66.45,2025-09-30 14:15:00+05:30,90.69,SL Hit,90.69,90.69,False,-24.24,-1818.0
2025-10-01 09:45:00+05:30,2025-10-01 09:45:00+05:30,0,BUY_CE,24600,199.05,2025-10-01 10:00:00+05:30,174.66,SL Hit,174.66,174.66,False,-24.39,-1829.25
2025-10-01 10:05:00+05:30,2025-10-01 10:05:00+05:30,0,SELL_PE,24600,78.9,2025-10-01 10:30:00+05:30,64.8,MACD/EMA Exit,65.9,93.76,True,14.1,1057.5
2025-10-01 10:55:00+05:30,2025-10-01 10:55:00+05:30,0,BUY_CE,24600,171.8,2025-10-01 12:25:00+05:30,266.9,MACD/EMA Exit,184.8,152.32,True,95.1,7132.5
2025-10-01 12:55:00+05:30,2025-10-01 12:55:00+05:30,0,SELL_PE,24600,44.15,2025-10-01 14:20:00+05:30,29.15,MACD/EMA Exit,31.15,49.72,True,15.0,1125.0
2025-10-01 14:25:00+05:30,2025-10-01 14:25:00+05:30,0,BUY_CE,24600,288.65,2025-10-01 14:55:00+05:30,301.65,SL Hit,301.65,266.01,True,13.0,975.0
2025-10-03 09:50:00+05:30,2025-10-03 09:50:00+05:30,0,BUY_CE,24750,144.5,2025-10-03 10:40:00+05:30,118.35,SL Hit,118.35,118.35,False,-26.15,-1961.25
2025-10-03 11:05:00+05:30,2025-10-03 11:05:00+05:30,0,BUY_CE,24750,128.95,2025-10-03 11:15:00+05:30,141.95,SL Hit,141.95,111.24,True,13.0,975.0
