SignalTime,EntryTime,Slippage_Sec,Side,Mode,Shapeshifted,Strike,EntryPrice,ExitTime,ExitPrice,ExitReason,SL_Value,Initial_SL,TP1_Hit,PnL_Points,PnL_INR
2025-09-29 12:40:00+05:30,2025-09-29 12:40:00+05:30,0,BUY_PE,rumbling,False,24750,127.1,2025-09-29 13:00:00+05:30,97.06,SL Hit,97.06,97.06,False,-30.04,-2253.0
2025-09-29 13:05:00+05:30,2025-09-29 13:05:00+05:30,0,BUY_CE,scout,False,24750,41.15,2025-09-29 13:15:00+05:30,49.15,SL Hit,49.15,32.35,True,8.0,600.0
2025-09-29 13:20:00+05:30,2025-09-29 13:20:00+05:30,0,BUY_CE,rumbling,True,24750,55.75,2025-09-29 13:40:00+05:30,55.75,SL Hit,55.75,46.1,False,0.0,0.0
2025-09-29 14:40:00+05:30,2025-09-29 14:40:00+05:30,0,BUY_PE,scout,False,24750,79.85,2025-09-29 14:50:00+05:30,87.85,SL Hit,87.85,61.77,True,8.0,600.0
2025-09-29 14:55:00+05:30,2025-09-29 14:55:00+05:30,0,BUY_PE,rumbling,True,24750,83.2,2025-09-29 15:25:00+05:30,84.6,MACD/EMA Exit,83.2,65.3,False,1.4,105.0
2025-09-30 11:25:00+05:30,2025-09-30 11:25:00+05:30,0,BUY_PE,rumbling,False,24700,66.55,2025-09-30 14:35:00+05:30,66.55,SL Hit,66.55,29.09,False,0.0,0.0
2025-09-30 14:40:00+05:30,2025-09-30 14:40:00+05:30,0,BUY_CE,scout,False,24700,3.4,2025-09-30 15:25:00+05:30,0.05,EOD Exit,-1.35,-1.35,False,-3.35,-251.25
2025-10-01 11:25:00+05:30,2025-10-01 11:25:00+05:30,0,BUY_CE,rumbling,False,24600,211.0,2025-10-01 12:25:00+05:30,266.9,MACD/EMA Exit,211.0,183.51,False,55.9,4192.5
2025-10-01 12:55:00+05:30,2025-10-01 12:55:00+05:30,0,BUY_PE,scout,False,24600,44.15,2025-10-01 13:25:00+05:30,39.36,SL Hit,39.36,39.36,False,-4.79,-359.25
2025-10-01 13:30:00+05:30,2025-10-01 13:30:00+05:30,0,BUY_CE,scout,False,24600,265.35,2025-10-01 13:40:00+05:30,273.35,SL Hit,273.35,242.12,True,8.0,600.0
2025-10-01 13:55:00+05:30,2025-10-01 13:55:00+05:30,0,BUY_CE,rumbling,True,24600,260.65,2025-10-01 15:05:00+05:30,288.85,MACD/EMA Exit,260.65,240.16,True,28.2,2115.0
2025-10-03 12:10:00+05:30,2025-10-03 12:10:00+05:30,0,BUY_CE,scout,False,24750,152.8,2025-10-03 12:15:00+05:30,136.87,SL Hit,136.87,136.87,False,-15.93,-1194.75
2025-10-03 12:30:00+05:30,2025-10-03 12:30:00+05:30,0,BUY_PE,scout,False,24750,48.4,2025-10-03 12:50:00+05:30,40.64,SL Hit,40.64,40.64,False,-7.76,-582.0
2025-10-03 12:55:00+05:30,2025-10-03 12:55:00+05:30,0,BUY_CE,scout,False,24750,141.0,2025-10-03 13:20:00+05:30,149.0,SL Hit,149.0,124.74,True,8.0,600.0
2025-10-03 13:25:00+05:30,2025-10-03 13:25:00+05:30,0,BUY_PE,scout,False,24750,39.8,2025-10-03 14:35:00+05:30,32.81,SL Hit,32.81,32.81,False,-6.99,-524.25
2025-10-03 14:40:00+05:30,2025-10-03 14:40:00+05:30,0,BUY_CE,rumbling,False,24750,175.45,2025-10-03 15:25:00+05:30,188.75,EOD Exit,175.45,153.53,False,13.3,997.5
2025-10-06 11:30:00+05:30,2025-10-06 11:30:00+05:30,0,BUY_CE,rumbling,True,24900,140.4,2025-10-06 13:50:00+05:30,201.2,MACD/EMA Exit,140.4,124.04,True,60.8,4560.0
2025-10-06 14:25:00+05:30,2025-10-06 14:25:00+05:30,0,BUY_PE,scout,False,24900,15.45,2025-10-06 14:35:00+05:30,12.45,SL Hit,12.45,12.45,False,-3.0,-225.0
2025-10-06 14:40:00+05:30,2025-10-06 14:40:00+05:30,0,BUY_CE,scout,False,24900,196.6,2025-10-06 15:00:00+05:30,204.6,SL Hit,204.6,177.07,True,8.0,600.0
2025-10-07 12:00:00+05:30,2025-10-07 12:00:00+05:30,0,BUY_CE,scout,False,25100,71.55,2025-10-07 12:10:00+05:30,79.55,SL Hit,79.55,49.37,True,8.0,600.0
2025-10-07 12:15:00+05:30,2025-10-07 12:15:00+05:30,0,BUY_CE,scout,False,25100,64.45,2025-10-07 12:15:00+05:30,72.45,SL Hit,72.45,41.41,True,8.0,600.0
2025-10-07 12:20:00+05:30,2025-10-07 12:20:00+05:30,0,BUY_CE,scout,False,25100,69.2,2025-10-07 12:25:00+05:30,77.2,SL Hit,77.2,46.81,True,8.0,600.0
2025-10-07 12:30:00+05:30,2025-10-07 12:30:00+05:30,0,BUY_CE,rumbling,True,25100,75.35,2025-10-07 14:15:00+05:30,107.15,MACD/EMA Exit,75.35,54.62,False,31.8,2385.0
2025-10-07 14:25:00+05:30,2025-10-07 14:25:00+05:30,0,BUY_PE,rumbling,True,25100,3.35,2025-10-07 14:45:00+05:30,3.35,SL Hit,3.35,1.91,False,0.0,0.0
2025-10-07 15:05:00+05:30,2025-10-07 15:05:00+05:30,0,BUY_PE,rumbling,False,25100,1.0,2025-10-07 15:25:00+05:30,0.05,EOD Exit,-3.51,-3.51,False,-0.95,-71.25
2025-10-08 12:25:00+05:30,2025-10-08 12:25:00+05:30,0,BUY_PE,scout,False,25100,136.5,2025-10-08 12:25:00+05:30,144.5,SL Hit,144.5,117.77,True,8.0,600.0
2025-10-08 12:30:00+05:30,2025-10-08 12:30:00+05:30,0,BUY_PE,scout,False,25100,139.15,2025-10-08 12:45:00+05:30,121.13,SL Hit,121.13,121.13,False,-18.02,-1351.5
2025-10-08 12:50:00+05:30,2025-10-08 12:50:00+05:30,0,BUY_CE,rumbling,True,25100,110.95,2025-10-08 13:00:00+05:30,110.95,SL Hit,110.95,97.38,False,0.0,0.0
2025-10-08 13:05:00+05:30,2025-10-08 13:05:00+05:30,0,BUY_CE,rumbling,False,25100,121.8,2025-10-08 14:10:00+05:30,102.13,SL Hit,102.13,102.13,False,-19.67,-1475.25
2025-10-08 14:15:00+05:30,2025-10-08 14:15:00+05:30,0,BUY_PE,scout,False,25100,101.55,2025-10-08 14:20:00+05:30,109.55,SL Hit,109.55,86.42,True,8.0,600.0
2025-10-08 14:25:00+05:30,2025-10-08 14:25:00+05:30,0,BUY_PE,scout,False,25100,108.95,2025-10-08 14:30:00+05:30,116.95,SL Hit,116.95,93.64,True,8.0,600.0
2025-10-08 14:50:00+05:30,2025-10-08 14:50:00+05:30,0,BUY_CE,scout,False,25100,93.3,2025-10-08 15:10:00+05:30,76.57,SL Hit,76.57,76.57,False,-16.73,-1254.75
2025-10-09 12:20:00+05:30,2025-10-09 12:20:00+05:30,0,BUY_CE,scout,False,25050,193.8,2025-10-09 12:55:00+05:30,173.3,SL Hit,173.3,173.3,False,-20.5,-1537.5
2025-10-09 13:05:00+05:30,2025-10-09 13:05:00+05:30,0,BUY_CE,scout,False,25050,172.8,2025-10-09 13:15:00+05:30,180.8,SL Hit,180.8,153.95,True,8.0,600.0
2025-10-09 13:30:00+05:30,2025-10-09 13:30:00+05:30,0,BUY_CE,scout,False,25050,188.7,2025-10-09 14:05:00+05:30,196.7,SL Hit,196.7,169.98,True,8.0,600.0
2025-10-09 14:15:00+05:30,2025-10-09 14:15:00+05:30,0,BUY_PE,scout,False,25050,44.75,2025-10-09 14:50:00+05:30,38.48,SL Hit,38.48,38.48,False,-6.27,-470.25
2025-10-09 14:55:00+05:30,2025-10-09 14:55:00+05:30,0,BUY_CE,scout,False,25050,186.7,2025-10-09 15:10:00+05:30,194.7,SL Hit,194.7,164.72,True,8.0,600.0
2025-10-10 11:50:00+05:30,2025-10-10 11:50:00+05:30,0,BUY_CE,scout,False,25150,229.5,2025-10-10 13:05:00+05:30,237.5,SL Hit,237.5,206.14,True,8.0,600.0
2025-10-10 13:35:00+05:30,2025-10-10 13:35:00+05:30,0,BUY_CE,scout,False,25150,255.0,2025-10-10 13:55:00+05:30,235.67,SL Hit,235.67,235.67,False,-19.33,-1449.75
2025-10-10 14:05:00+05:30,2025-10-10 14:05:00+05:30,0,BUY_PE,rumbling,True,25150,22.35,2025-10-10 14:45:00+05:30,22.35,SL Hit,22.35,19.61,False,0.0,0.0
2025-10-10 14:55:00+05:30,2025-10-10 14:55:00+05:30,0,BUY_CE,scout,False,25150,227.0,2025-10-10 15:10:00+05:30,209.85,SL Hit,209.85,209.85,False,-17.15,-1286.25
2025-10-13 11:55:00+05:30,2025-10-13 11:55:00+05:30,0,BUY_CE,scout,False,25200,70.5,2025-10-13 12:15:00+05:30,60.52,SL Hit,60.52,60.52,False,-9.98,-748.5
2025-10-13 12:20:00+05:30,2025-10-13 12:20:00+05:30,0,BUY_PE,scout,False,25200,73.6,2025-10-13 12:55:00+05:30,61.19,SL Hit,61.19,61.19,False,-12.41,-930.75
2025-10-13 13:05:00+05:30,2025-10-13 13:05:00+05:30,0,BUY_PE,scout,False,25200,64.95,2025-10-13 14:00:00+05:30,54.39,SL Hit,54.39,54.39,False,-10.56,-792.0
2025-10-13 14:05:00+05:30,2025-10-13 14:05:00+05:30,0,BUY_CE,rumbling,True,25200,76.8,2025-10-13 15:00:00+05:30,76.8,SL Hit,76.8,65.63,True,0.0,0.0
2025-10-13 15:05:00+05:30,2025-10-13 15:05:00+05:30,0,BUY_PE,scout,False,25200,42.35,2025-10-13 15:25:00+05:30,33.1,EOD Exit,32.77,32.77,False,-9.25,-693.75
2025-10-14 12:10:00+05:30,2025-10-14 12:10:00+05:30,0,BUY_PE,rumbling,False,25300,187.65,2025-10-14 13:00:00+05:30,216.05,MACD/EMA Exit,187.65,142.26,False,28.4,2130.0
2025-10-14 13:30:00+05:30,2025-10-14 13:30:00+05:30,0,BUY_CE,scout,False,25300,3.05,2025-10-14 13:40:00+05:30,2.27,SL Hit,2.27,2.27,False,-0.78,-58.5
2025-10-14 13:45:00+05:30,2025-10-14 13:45:00+05:30,0,BUY_CE,scout,False,25300,1.65,2025-10-14 14:45:00+05:30,0.73,SL Hit,0.73,0.73,False,-0.92,-69.0
2025-10-14 15:15:00+05:30,2025-10-14 15:15:00+05:30,0,BUY_PE,scout,False,25300,151.6,2025-10-14 15:25:00+05:30,154.05,EOD Exit,116.43,116.43,False,2.45,183.75
2025-10-15 12:20:00+05:30,2025-10-15 12:20:00+05:30,0,BUY_CE,rumbling,True,25200,214.15,2025-10-15 13:50:00+05:30,239.9,MACD/EMA Exit,214.15,196.56,True,25.75,1931.25
2025-10-15 14:00:00+05:30,2025-10-15 14:00:00+05:30,0,BUY_PE,scout,False,25200,44.9,2025-10-15 15:25:00+05:30,43.65,EOD Exit,41.53,41.53,False,-1.25,-93.75
2025-10-16 11:45:00+05:30,2025-10-16 11:45:00+05:30,0,BUY_PE,scout,False,25400,58.95,2025-10-16 11:50:00+05:30,54.38,SL Hit,54.38,54.38,False,-4.57,-342.75
2025-10-16 11:55:00+05:30,2025-10-16 11:55:00+05:30,0,BUY_CE,rumbling,True,25400,151.6,2025-10-16 13:15:00+05:30,198.5,MACD/EMA Exit,151.6,138.72,True,46.9,3517.5
2025-10-16 13:30:00+05:30,2025-10-16 13:30:00+05:30,0,BUY_CE,scout,False,25400,210.2,2025-10-16 13:50:00+05:30,218.2,SL Hit,218.2,191.86,True,8.0,600.0
2025-10-16 14:00:00+05:30,2025-10-16 14:00:00+05:30,0,BUY_CE,rumbling,True,25400,225.35,2025-10-16 15:05:00+05:30,239.05,MACD/EMA Exit,225.35,208.46,False,13.7,1027.5
2025-10-16 15:10:00+05:30,2025-10-16 15:10:00+05:30,0,BUY_PE,scout,False,25400,32.6,2025-10-16 15:25:00+05:30,32.3,EOD Exit,28.53,28.53,False,-0.3,-22.5
2025-10-17 12:20:00+05:30,2025-10-17 12:20:00+05:30,0,BUY_CE,scout,False,25550,272.4,2025-10-17 12:40:00+05:30,243.9,SL Hit,243.9,243.9,False,-28.5,-2137.5
2025-10-17 12:45:00+05:30,2025-10-17 12:45:00+05:30,0,BUY_PE,scout,False,25550,33.4,2025-10-17 12:55:00+05:30,41.4,SL Hit,41.4,28.42,True,8.0,600.0
2025-10-17 13:00:00+05:30,2025-10-17 13:00:00+05:30,0,BUY_PE,rumbling,False,25550,48.1,2025-10-17 14:05:00+05:30,37.67,SL Hit,37.67,37.67,False,-10.43,-782.25
2025-10-17 14:15:00+05:30,2025-10-17 14:15:00+05:30,0,BUY_CE,scout,False,25550,199.9,2025-10-17 15:00:00+05:30,207.9,SL Hit,207.9,168.78,True,8.0,600.0
2025-10-20 11:40:00+05:30,2025-10-20 11:40:00+05:30,0,BUY_PE,scout,False,25800,25.55,2025-10-20 11:40:00+05:30,33.55,SL Hit,33.55,10.86,True,8.0,600.0
2025-10-20 12:00:00+05:30,2025-10-20 12:00:00+05:30,0,BUY_CE,scout,False,25800,71.05,2025-10-20 12:10:00+05:30,79.05,SL Hit,79.05,44.64,True,8.0,600.0
2025-10-20 12:15:00+05:30,2025-10-20 12:15:00+05:30,0,BUY_CE,scout,False,25800,71.8,2025-10-20 12:15:00+05:30,79.8,SL Hit,79.8,47.81,True,8.0,600.0
2025-10-20 12:30:00+05:30,2025-10-20 12:30:00+05:30,0,BUY_CE,rumbling,True,25800,79.1,2025-10-20 13:35:00+05:30,91.8,MACD/EMA Exit,79.1,57.61,True,12.7,952.5
2025-10-20 13:45:00+05:30,2025-10-20 13:45:00+05:30,0,BUY_PE,scout,False,25800,7.9,2025-10-20 14:10:00+05:30,4.74,SL Hit,4.74,4.74,False,-3.16,-237.0
2025-10-20 14:20:00+05:30,2025-10-20 14:20:00+05:30,0,BUY_PE,scout,False,25800,9.75,2025-10-20 14:30:00+05:30,17.75,SL Hit,17.75,3.99,True,8.0,600.0
2025-10-20 15:05:00+05:30,2025-10-20 15:05:00+05:30,0,BUY_CE,scout,False,25800,44.5,2025-10-20 15:25:00+05:30,43.1,EOD Exit,16.15,16.15,False,-1.4,-105.0
2025-10-23 11:35:00+05:30,2025-10-23 11:35:00+05:30,0,BUY_CE,scout,False,26050,164.35,2025-10-23 12:45:00+05:30,172.35,SL Hit,172.35,148.69,True,8.0,600.0
2025-10-23 12:55:00+05:30,2025-10-23 12:55:00+05:30,0,BUY_PE,rumbling,True,26050,78.55,2025-10-23 14:50:00+05:30,104.6,MACD/EMA Exit,78.55,72.3,False,26.05,1953.75
2025-10-23 15:00:00+05:30,2025-10-23 15:00:00+05:30,0,BUY_PE,rumbling,True,26050,136.6,2025-10-23 15:25:00+05:30,169.6,EOD Exit,136.6,114.34,True,33.0,2475.0
2025-10-24 11:40:00+05:30,2025-10-24 11:40:00+05:30,0,BUY_CE,rumbling,True,25950,71.9,2025-10-24 12:25:00+05:30,71.9,SL Hit,71.9,60.56,True,0.0,0.0
2025-10-24 12:30:00+05:30,2025-10-24 12:30:00+05:30,0,BUY_PE,rumbling,False,25950,129.0,2025-10-24 12:50:00+05:30,144.5,MACD/EMA Exit,129.0,99.61,False,15.5,1162.5
2025-10-24 12:55:00+05:30,2025-10-24 12:55:00+05:30,0,BUY_PE,scout,False,25950,153.25,2025-10-24 13:15:00+05:30,161.25,SL Hit,161.25,132.48,True,8.0,600.0
2025-10-24 13:20:00+05:30,2025-10-24 13:20:00+05:30,0,BUY_PE,rumbling,False,25950,169.0,2025-10-24 14:15:00+05:30,204.4,MACD/EMA Exit,169.0,139.79,False,35.4,2655.0
2025-10-24 14:25:00+05:30,2025-10-24 14:25:00+05:30,0,BUY_CE,rumbling,False,25950,41.75,2025-10-24 15:25:00+05:30,45.9,EOD Exit,32.56,32.56,False,4.15,311.25
2025-10-27 11:25:00+05:30,2025-10-27 11:25:00+05:30,0,BUY_CE,scout,False,25850,209.85,2025-10-27 11:25:00+05:30,217.85,SL Hit,217.85,188.43,True,8.0,600.0
2025-10-27 11:55:00+05:30,2025-10-27 11:55:00+05:30,0,BUY_CE,rumbling,True,25850,230.0,2025-10-27 12:10:00+05:30,230.0,SL Hit,230.0,205.97,False,0.0,0.0
2025-10-27 12:25:00+05:30,2025-10-27 12:25:00+05:30,0,BUY_PE,rumbling,False,25850,29.05,2025-10-27 13:50:00+05:30,23.69,SL Hit,23.69,23.69,False,-5.36,-402.0
2025-10-27 14:05:00+05:30,2025-10-27 14:05:00+05:30,0,BUY_CE,scout,False,25850,176.95,2025-10-27 14:45:00+05:30,184.95,SL Hit,184.95,151.48,True,8.0,600.0
2025-10-27 14:50:00+05:30,2025-10-27 14:50:00+05:30,0,BUY_PE,scout,False,25850,26.85,2025-10-27 15:25:00+05:30,19.75,SL Hit,19.75,19.75,False,-7.1,-532.5
