order_id,signal_time,entry_time,exit_time,side,strike,entry_price,exit_price,quantity,initial_sl,sl,tp1,tp1_hit,exit_reason,pnl_points,pnl_inr,status
5dad9faf,2025-11-18 10:25:00+05:30,2025-11-18 10:30:00+05:30,2025-11-18 10:35:00+05:30,BUY_PE,25950,83.3,96.3,75,56.63,96.3,93.3,True,SL Hit,13.0,975.0,CLOSED
269fccfe,2025-11-18 11:25:00+05:30,2025-11-18 11:30:00+05:30,2025-11-18 11:45:00+05:30,BUY_PE,25950,56.05,31.76,75,31.76,31.76,66.05,False,SL Hit,-24.29,-1821.75,CLOSED
0ecf1476,2025-11-18 11:55:00+05:30,2025-11-18 12:00:00+05:30,2025-11-18 12:20:00+05:30,BUY_CE,25950,61.95,41.49,75,41.49,41.49,71.95,False,SL Hit,-20.46,-1534.5,CLOSED
2dcd6948,2025-11-18 13:10:00+05:30,2025-11-18 13:15:00+05:30,2025-11-18 13:20:00+05:30,BUY_CE,25950,35.6,48.6,75,15.74,48.6,45.6,True,SL Hit,13.0,975.0,CLOSED
5b161bda,2025-11-18 13:35:00+05:30,2025-11-18 13:40:00+05:30,2025-11-18 14:05:00+05:30,BUY_CE,25950,53.4,66.4,75,32.62,66.4,63.4,True,SL Hit,13.0,975.0,CLOSED
12ae894d,2025-11-18 14:20:00+05:30,2025-11-18 14:25:00+05:30,2025-11-18 14:45:00+05:30,BUY_CE,25950,38.75,12.08,75,12.08,12.08,48.75,False,SL Hit,-26.67,-2000.25,CLOSED
602b69a3,2025-11-18 14:50:00+05:30,2025-11-18 14:55:00+05:30,2025-11-18 15:00:00+05:30,BUY_PE,25950,20.25,33.25,75,6.4,33.25,30.25,True,SL Hit,13.0,975.0,CLOSED
0fafa56a,2025-11-18 15:05:00+05:30,2025-11-18 15:10:00+05:30,2025-11-18 15:25:00+05:30,BUY_PE,25950,34.5,39.95,75,14.91,14.91,44.5,False,EOD Exit,5.45,408.75,CLOSED
d6bd7b4b,2025-11-19 10:15:00+05:30,2025-11-19 10:20:00+05:30,2025-11-19 11:05:00+05:30,BUY_CE,25850,230.8,204.13,75,204.13,204.13,240.8,False,SL Hit,-26.67,-2000.25,CLOSED
cd897095,2025-11-19 11:30:00+05:30,2025-11-19 11:35:00+05:30,2025-11-19 13:15:00+05:30,BUY_CE,25850,213.5,270.45,75,189.67,226.5,223.5,True,MACD/EMA Exit,56.95,4271.25,CLOSED
b392cada,2025-11-19 13:55:00+05:30,2025-11-19 14:00:00+05:30,2025-11-19 14:05:00+05:30,BUY_CE,25850,265.65,278.65,75,240.69,278.65,275.65,True,SL Hit,13.0,975.0,CLOSED
e9bf7a34,2025-11-19 14:15:00+05:30,2025-11-19 14:20:00+05:30,2025-11-19 14:40:00+05:30,BUY_CE,25850,289.6,302.6,75,266.06,302.6,299.6,True,SL Hit,13.0,975.0,CLOSED
a0ae0927,2025-11-19 14:55:00+05:30,2025-11-19 15:00:00+05:30,2025-11-19 15:25:00+05:30,BUY_CE,25850,290.5,287.7,75,267.4,267.4,300.5,False,EOD Exit,-2.8,-210.0,CLOSED
077f7af7,2025-11-20 10:15:00+05:30,2025-11-20 10:20:00+05:30,2025-11-20 10:40:00+05:30,BUY_CE,26100,146.45,159.45,75,121.8,159.45,156.45,True,SL Hit,13.0,975.0,CLOSED
aeb4efc4,2025-11-20 10:45:00+05:30,2025-11-20 10:50:00+05:30,2025-11-20 12:25:00+05:30,BUY_CE,26100,162.0,175.0,75,145.01,175.0,172.0,True,SL Hit,13.0,975.0,CLOSED
9380a76a,2025-11-20 12:40:00+05:30,2025-11-20 12:45:00+05:30,2025-11-20 13:20:00+05:30,BUY_CE,26100,173.0,186.0,75,157.84,186.0,183.0,True,SL Hit,13.0,975.0,CLOSED
dd303535,2025-11-20 13:25:00+05:30,2025-11-20 13:30:00+05:30,2025-11-20 14:25:00+05:30,BUY_CE,26100,197.85,210.85,75,180.04,210.85,207.85,True,SL Hit,13.0,975.0,CLOSED
35dc6a39,2025-11-20 14:35:00+05:30,2025-11-20 14:40:00+05:30,2025-11-20 15:25:00+05:30,BUY_CE,26100,209.9,200.4,75,183.42,183.42,219.9,False,EOD Exit,-9.5,-712.5,CLOSED
